prolific_id,id,question,response,expected,trial_name,trial_number
5ff3a2554cfb7d507511d89f,red-yellow,NA,both,both,attention_check,3
5ff27d6e5ce3ae271dc02a39,not-red-yellow,NA,ynr,ynr,attention_check,1
5ff27d6e5ce3ae271dc02a39,not-yellow-red,NA,rny,rny,attention_check,2
5ff27d6e5ce3ae271dc02a39,red-yellow,NA,both,both,attention_check,3
5eeb08b82348801fe2843b92,not-red-yellow,NA,ynr,ynr,attention_check,1
5eeb08b82348801fe2843b92,not-yellow-red,NA,rny,rny,attention_check,2
5eeb08b82348801fe2843b92,red-yellow,NA,both,both,attention_check,3
5d4ec0116686610018bf2f02,not-red-yellow,NA,ynr,ynr,attention_check,1
5d4ec0116686610018bf2f02,not-yellow-red,NA,rny,rny,attention_check,2
5d4ec0116686610018bf2f02,red-yellow,NA,both,both,attention_check,3
5ff4a92a43c578c187ea1f2d,not-red-yellow,NA,ynr,ynr,attention_check,1
5ff4a92a43c578c187ea1f2d,not-yellow-red,NA,rny,rny,attention_check,2
5ff4a92a43c578c187ea1f2d,red-yellow,NA,both,both,attention_check,3
5f61ba7cfdaccd165da6985b,not-red-yellow,NA,ynr,ynr,attention_check,1
5f61ba7cfdaccd165da6985b,not-yellow-red,NA,rny,rny,attention_check,2
5f61ba7cfdaccd165da6985b,red-yellow,NA,both,both,attention_check,3
5f48cd6061235238d144db2c,not-red-yellow,NA,ynr,ynr,attention_check,1
5f48cd6061235238d144db2c,not-yellow-red,NA,rny,rny,attention_check,2
5f48cd6061235238d144db2c,red-yellow,NA,both,both,attention_check,3
5f15bb958f68106c2868863a,not-red-yellow,NA,ynr,ynr,attention_check,1
5f15bb958f68106c2868863a,not-yellow-red,NA,rny,rny,attention_check,2
5f15bb958f68106c2868863a,red-yellow,NA,both,both,attention_check,3
5eaeb504b21d400009b756b9,not-red-yellow,NA,ynr,ynr,attention_check,1
5eaeb504b21d400009b756b9,not-yellow-red,NA,rny,rny,attention_check,2
5eaeb504b21d400009b756b9,red-yellow,NA,both,both,attention_check,3
5e5eb757a234251ddb9ab872,not-red-yellow,NA,ynr,ynr,attention_check,1
5e5eb757a234251ddb9ab872,not-yellow-red,NA,rny,rny,attention_check,2
5e5eb757a234251ddb9ab872,red-yellow,NA,both,both,attention_check,3
5f78f4b754feeb4f19043859,not-red-yellow,NA,ynr,ynr,attention_check,1
5f78f4b754feeb4f19043859,not-yellow-red,NA,rny,rny,attention_check,2
5f78f4b754feeb4f19043859,red-yellow,NA,both,both,attention_check,3
587b3ddbac864a0001c9bd27,not-red-yellow,NA,ynr,ynr,attention_check,1
587b3ddbac864a0001c9bd27,not-yellow-red,NA,rny,rny,attention_check,2
587b3ddbac864a0001c9bd27,red-yellow,NA,both,both,attention_check,3
5f0f5a88a751ba0f5f47fe31,not-red-yellow,NA,ynr,ynr,attention_check,1
5f0f5a88a751ba0f5f47fe31,not-yellow-red,NA,rny,rny,attention_check,2
5f0f5a88a751ba0f5f47fe31,red-yellow,NA,both,both,attention_check,3
5c8575d4bb45d10016c9265e,not-red-yellow,NA,ynr,ynr,attention_check,1
5c8575d4bb45d10016c9265e,not-yellow-red,NA,rny,rny,attention_check,2
5c8575d4bb45d10016c9265e,red-yellow,NA,both,both,attention_check,3
5fe206138d3c664f65dd94db,not-red-yellow,NA,ynr,ynr,attention_check,1
5fe206138d3c664f65dd94db,not-yellow-red,NA,rny,rny,attention_check,2
5fe206138d3c664f65dd94db,red-yellow,NA,both,both,attention_check,3
600b283694c55c15f17e744c,not-red-yellow,NA,ynr,ynr,attention_check,1
600b283694c55c15f17e744c,not-yellow-red,NA,rny,rny,attention_check,2
600b283694c55c15f17e744c,red-yellow,NA,both,both,attention_check,3
5ee8e2d15b0e5a109fbedf9a,not-red-yellow,NA,ynr,ynr,attention_check,1
5ee8e2d15b0e5a109fbedf9a,not-yellow-red,NA,rny,rny,attention_check,2
5ee8e2d15b0e5a109fbedf9a,red-yellow,NA,both,both,attention_check,3
5fc58c7da1fb991094624b56,not-red-yellow,NA,ynr,ynr,attention_check,1
5fc58c7da1fb991094624b56,not-yellow-red,NA,rny,rny,attention_check,2
5fc58c7da1fb991094624b56,red-yellow,NA,both,both,attention_check,3
5c59cc30ff6afc000117c8d5,not-red-yellow,NA,ynr,ynr,attention_check,1
5c59cc30ff6afc000117c8d5,not-yellow-red,NA,rny,rny,attention_check,2
5c59cc30ff6afc000117c8d5,red-yellow,NA,both,both,attention_check,3
5ef1086d5234d40c8a15754a,not-red-yellow,NA,ynr,ynr,attention_check,1
5ef1086d5234d40c8a15754a,not-yellow-red,NA,rny,rny,attention_check,2
5ef1086d5234d40c8a15754a,red-yellow,NA,both,both,attention_check,3
5f3df223dbff0221c7f662bb,not-red-yellow,NA,ynr,ynr,attention_check,1
5f3df223dbff0221c7f662bb,not-yellow-red,NA,rny,rny,attention_check,2
5f3df223dbff0221c7f662bb,red-yellow,NA,both,both,attention_check,3
600c4d8f3381f8363c4a1899,not-red-yellow,NA,ynr,ynr,attention_check,1
600c4d8f3381f8363c4a1899,not-yellow-red,NA,rny,rny,attention_check,2
600c4d8f3381f8363c4a1899,red-yellow,NA,both,both,attention_check,3
5ea1bd7e16a0c70919660653,not-red-yellow,NA,ynr,ynr,attention_check,1
5ea1bd7e16a0c70919660653,not-yellow-red,NA,rny,rny,attention_check,2
5ea1bd7e16a0c70919660653,red-yellow,NA,both,both,attention_check,3
5fc12002ae4b06000b8211ea,not-red-yellow,NA,ynr,ynr,attention_check,1
5fc12002ae4b06000b8211ea,not-yellow-red,NA,rny,rny,attention_check,2
5fc12002ae4b06000b8211ea,red-yellow,NA,both,both,attention_check,3
5fee247ad4f1e4c1479237f8,not-red-yellow,NA,ynr,ynr,attention_check,1
5fee247ad4f1e4c1479237f8,not-yellow-red,NA,rny,rny,attention_check,2
5fee247ad4f1e4c1479237f8,red-yellow,NA,both,both,attention_check,3
5e9e78335b389522fca3ff48,not-red-yellow,NA,ynr,ynr,attention_check,1
5e9e78335b389522fca3ff48,not-yellow-red,NA,rny,rny,attention_check,2
5e9e78335b389522fca3ff48,red-yellow,NA,both,both,attention_check,3
5f71195a7af8a91528f8d8d9,not-red-yellow,NA,ynr,ynr,attention_check,1
5f71195a7af8a91528f8d8d9,not-yellow-red,NA,rny,rny,attention_check,2
5f71195a7af8a91528f8d8d9,red-yellow,NA,both,both,attention_check,3
5f05056acc8d327f2948bbc0,not-red-yellow,NA,ynr,ynr,attention_check,1
5f05056acc8d327f2948bbc0,not-yellow-red,NA,rny,rny,attention_check,2
5f05056acc8d327f2948bbc0,red-yellow,NA,both,both,attention_check,3
